"beta","m","udr_values"
30,5,0.125669368533118
30,20,0.125881482173602
24,0,0.126569777462767
50,30,0.126718565262299
40,50,0.126786460520203
42,50,0.126946447078451
36,30,0.127290000908144
48,35,0.127419173889832
24,20,0.127519876180232
44,25,0.127697750276068
36,35,0.127715481610759
28,14,0.127799657227374
38,45,0.12792199840984
28,1,0.128246298905067
34,16,0.128452741132287
24,18,0.128472433811707
42,35,0.128610287906743
34,35,0.128817121743045
26,5,0.128852958286272
32,5,0.128922587413096
38,50,0.12902571522109
40,25,0.129143928882621
44,5,0.129224285211707
50,10,0.129410163003258
42,20,0.129626222563129
44,30,0.130072296772346
42,18,0.130101056289488
34,40,0.130224570444013
36,14,0.130600804214227
30,1,0.130707652729549
28,5,0.130820051700522
46,16,0.131136076157266
28,18,0.131451530239708
22,14,0.13166077418885
50,1,0.132079708654731
40,45,0.132095867757322
46,25,0.132490839713712
30,12,0.13268514539265
46,30,0.132748517495795
28,20,0.13316816858729
24,14,0.133168600487572
48,20,0.133580899268864
38,10,0.133979453674928
46,45,0.134217015518212
34,14,0.134706573794028
50,25,0.134816219252717
28,12,0.134844513859277
38,16,0.134916408667493
26,12,0.135094503298983
30,16,0.135300364973505
30,18,0.135346051843568
36,45,0.135508308259328
48,18,0.135533125601451
38,25,0.135665933495526
42,1,0.135672630591913
40,10,0.136052854343299
42,16,0.136067990431861
48,25,0.136593097497231
28,45,0.136769616255909
40,12,0.13754924726673
46,1,0.137658229594758
48,16,0.137826774318127
32,35,0.138137673072447
44,45,0.138162276560772
44,1,0.139040800023036
38,20,0.139080881367398
40,16,0.139344726953616
50,14,0.139386209460335
34,45,0.139414996310375
46,35,0.139421112287295
34,20,0.139446770613434
38,5,0.139455889253074
38,18,0.139622001950686
32,10,0.139826830490225
34,10,0.139980666552415
48,5,0.140011616389197
46,0,0.140274564002947
48,14,0.140553786968061
38,1,0.140623781706417
46,18,0.140778052903309
40,18,0.140837428675437
36,40,0.142205984285723
32,1,0.14224693515041
30,14,0.14279375861471
36,5,0.142928804819323
50,18,0.143088581894939
42,12,0.143088873292798
36,1,0.143166328608417
40,20,0.143286429963765
48,30,0.143362242288819
50,16,0.143834852939544
44,16,0.144018756871051
32,16,0.144116675537014
38,0,0.144689784176466
36,16,0.144878194949459
34,18,0.145346018677162
44,18,0.145580744756237
40,5,0.145618342716242
46,5,0.145621529923058
36,20,0.145906441966339
32,18,0.14601790039239
50,5,0.146256483960189
40,0,0.14643991114643
48,1,0.146733395719288
48,10,0.146830590832006
34,1,0.146881537165032
48,0,0.147066041147549
36,10,0.148155417895883
34,25,0.148264608831643
32,0,0.148555762507142
44,14,0.149240031539209
34,5,0.149335163937365
40,1,0.150254508044866
